date,trades_count,gross_pnl,charges,net_pnl,equity,daily_return_pct
2024-10-03,5,-0.0,45.73,-45.73,29945.3,-0.15
2024-10-04,5,8.5,44.07,-35.57,29909.73,-0.12
2024-10-07,5,-222.96,44.12,-267.08,29642.65,-0.89
2024-10-08,5,0.0,45.16,-45.16,29597.49,-0.15
2024-10-09,5,-201.0,43.27,-244.27,29353.22,-0.83
2024-10-10,5,0.0,44.07,-44.07,29309.15,-0.15
2024-10-11,5,0.0,43.67,-43.67,29265.48,-0.15
2024-10-14,5,0.0,35.06,-35.06,29230.42,-0.12
2024-10-15,5,10.48,43.86,-33.38,29197.04,-0.11
2024-10-16,5,-0.0,35.05,-35.05,29161.99,-0.12
2024-10-17,5,-0.0,43.53,-43.53,29118.46,-0.15
2024-10-18,5,-0.0,44.36,-44.36,29074.1,-0.15
2024-10-21,5,0.0,44.0,-44.0,29030.1,-0.15
2024-10-22,5,0.0,42.73,-42.73,28987.37,-0.15
2024-10-23,5,0.0,43.71,-43.71,28943.66,-0.15
2024-10-24,5,0.0,43.87,-43.87,28899.79,-0.15
2024-10-25,5,-201.28,41.62,-242.9,28656.89,-0.84
2024-10-28,5,-0.0,39.5,-39.5,28617.39,-0.14
2024-10-29,5,-229.76,42.88,-272.64,28344.75,-0.95
2024-10-30,5,0.0,32.95,-32.95,28311.8,-0.12
2024-10-31,5,30.09,43.06,-12.97,28298.83,-0.05
2024-11-01,5,-34.73,39.48,-74.21,28224.62,-0.26
2024-11-04,5,-195.12,33.84,-228.96,27995.66,-0.81
2024-11-05,5,0.0,42.39,-42.39,27953.27,-0.15
2024-11-06,5,-195.27,40.48,-235.75,27717.52,-0.84
2024-11-07,5,0.0,30.43,-30.43,27687.09,-0.11
2024-11-08,5,0.0,32.89,-32.89,27654.2,-0.12
2024-11-11,5,0.0,37.83,-37.83,27616.37,-0.14
2024-11-12,5,67.2,41.88,25.32,27641.69,0.09
2024-11-13,5,-0.81,37.73,-38.54,27603.15,-0.14
2024-11-14,5,-2.52,42.08,-44.6,27558.55,-0.16
2024-11-18,5,-0.0,41.48,-41.48,27517.07,-0.15
2024-11-19,5,0.0,32.31,-32.31,27484.76,-0.12
2024-11-21,5,-0.48,41.22,-41.7,27443.06,-0.15
2024-11-22,5,100.58,40.63,59.95,27503.01,0.22
2024-11-25,5,24.85,41.09,-16.24,27486.77,-0.06
2024-11-26,5,0.0,40.47,-40.47,27446.3,-0.15
2024-11-27,5,5.4,40.34,-34.94,27411.36,-0.13
2024-11-28,5,-32.34,38.84,-71.18,27340.18,-0.26
2024-11-29,5,0.0,40.71,-40.71,27299.47,-0.15
2024-12-02,5,0.0,40.93,-40.93,27258.54,-0.15
2024-12-03,5,-5.36,40.26,-45.62,27212.92,-0.17
2024-12-04,5,0.0,40.72,-40.72,27172.2,-0.15
2024-12-05,5,0.0,40.09,-40.09,27132.11,-0.15
2024-12-06,5,-189.44,41.29,-230.73,26901.38,-0.85
2024-12-09,5,0.0,40.95,-40.95,26860.43,-0.15
